username,date,tweet
CocaCola,2021-11-05 21:01:38,"@DJHammm Hi Daniel.  Thanks for reaching out.  We'd like to look into this further. If you could, please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #01868355."
CocaCola,2021-11-05 16:16:48,@nikkers07 Hi for product availability we suggest checking our product locator at: https://t.co/QNCW8GoODI
CocaCola,2021-11-05 15:32:39,"@rodrigomvz Hi!  Thanks for reaching out.  We'd like to look into this further. If you're located in the US, please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST. If you're not in the US, please send us a DM with the country where you're located."
CocaCola,2021-11-05 14:06:01,@Burnokalypze Hi! Thanks for being a passionate flavor fan. The Cherry Coca-Cola Zero Sugar formula has not changed. You can visit https://t.co/ZbyDpsgpDJ to see where it is available near you.
CocaCola,2021-11-05 13:49:23,@Burnokalypze Hi! Thanks for being a passionate flavor fan. The Cherry Coca-Cola Zero Sugar formula has not changed. You can visit https://t.co/ZbyDpsgpDJ to see where it is available near you.
CocaCola,2021-11-05 13:11:48,"@HeyMasterB Hi Joe.  Thanks for reaching out.  We'd like to look into this further. If you could, please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #01867729."
CocaCola,2021-11-05 12:39:25,"@theredberuska Hi Laura.  Thanks for reaching out.  We'd like to look into this further. If you could, please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #01867716."
CocaCola,2021-11-05 12:36:04,"@vtl77 Hi, for information on availability near you, please check out: https://t.co/BiuYp1zX3f"
CocaCola,2021-11-05 12:21:18,"@nicoleckohler Hi Nicole.  Thanks for reaching out.  We'd like to look into this further. If you could, please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #01867706."
CocaCola,2021-11-04 22:26:22,"@dreux Hi. Thanks for reaching out.  We'd like to look into this further. If you could, please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #01867035."
CocaCola,2021-11-04 20:18:59,@SMTOWNGLOBAL We love to kick it with you! 🐻‍❄️
CocaCola,2021-11-04 16:34:34,"@melaniekayla9 That's not right, Melanie. Call us at (800) GET-COKE, Mon-Fri, 9a-7p EST w/ REF# 01866603 and we’ll fix this."
CocaCola,2021-11-04 16:23:45,"@SarRuh_BearRuh Thanks for reaching out to us. Unfortunately, creating a variety pack isn’t feasible in the current bottling facilities. We hope this helps."
CocaCola,2021-11-04 15:34:00,"@csarafim As part of our World Without Waste vision, we’ve also committed to make bottles with an average of 50% recycled content by 2030. And while the majority of our packaging is recyclable, we are working to get to 100% recyclability. Learn more: https://t.co/ft14vb9nFp"
CocaCola,2021-11-04 15:31:48,"@JSummers330 Hi.  Unfortunately, Cinnamon Coke was a limited-edition flavor and was only available while supplies lasted. Thanks for being a flavor fan and we'll let the team know you'd like to see it back again."
